Reporting_Airline,DestStateName,ArrDelay
United Air Lines,Texas,12
American Airlines,Florida,-3
Delta Air Lines,Florida,-21
SkyWest Airlines,Colorado,3
United Air Lines,Colorado,-12
ExpressJet Airlines,Georgia,-9
United Air Lines,California,2
American Airlines,Florida,18
American Airlines,Texas,100
Southwest,Texas,1
Delta Air Lines,Florida,-5
American Airlines,California,-11
United Air Lines,Illinois,46
Southwest,Colorado,-14
Southwest,California,112
American Airlines,Illinois,-2
ExpressJet Airlines,Texas,37
ExpressJet Airlines,Georgia,-10
United Air Lines,Florida,-5
Delta Air Lines,Colorado,-8
Delta Air Lines,Florida,7
ExpressJet Airlines,Texas,-9
United Air Lines,California,5
ExpressJet Airlines,Illinois,-18
Southwest,Colorado,5
Southwest,Florida,-5
ExpressJet Airlines,Texas,-14
ExpressJet Airlines,Texas,9
United Air Lines,Colorado,-8
SkyWest Airlines,California,8
Southwest,California,-3
American Airlines,Texas,-14
Delta Air Lines,Florida,-2
Southwest,Colorado,-10
Southwest,Florida,-7
United Air Lines,Florida,-7
United Air Lines,California,13
Southwest,Texas,-9
United Air Lines,Florida,-2
American Airlines,Florida,45
Delta Air Lines,Georgia,-15
ExpressJet Airlines,Texas,14
Delta Air Lines,Texas,-11
Delta Air Lines,Georgia,-4
SkyWest Airlines,California,-2
ExpressJet Airlines,Florida,1
SkyWest Airlines,Texas,-6
Southwest,California,-26
ExpressJet Airlines,Illinois,-17
Delta Air Lines,Georgia,-12
Southwest,California,-6
United Air Lines,Colorado,-15
Southwest,California,13
American Airlines,Florida,-13
Delta Air Lines,Georgia,9
SkyWest Airlines,California,-5
United Air Lines,California,24
SkyWest Airlines,Colorado,-8
SkyWest Airlines,Illinois,-22
Southwest,California,1
SkyWest Airlines,California,-6
American Airlines,Florida,-4
United Air Lines,Florida,-3
American Airlines,Texas,0
SkyWest Airlines,California,26
Southwest,Florida,2
Southwest,California,38
United Air Lines,Florida,-16
Southwest,Texas,-8
Southwest,Texas,-17
ExpressJet Airlines,Georgia,3
SkyWest Airlines,California,-31
American Airlines,Illinois,-21
SkyWest Airlines,Illinois,94
Delta Air Lines,Georgia,3
United Air Lines,Colorado,-8
ExpressJet Airlines,Illinois,173
SkyWest Airlines,California,-12
SkyWest Airlines,Colorado,271
American Airlines,California,36
ExpressJet Airlines,Texas,-5
Delta Air Lines,California,184
American Airlines,Texas,-21
American Airlines,Florida,3
American Airlines,Texas,46
United Air Lines,Colorado,2
Southwest,California,6
SkyWest Airlines,California,1
American Airlines,Texas,48
SkyWest Airlines,Colorado,-3
Delta Air Lines,Georgia,27
Southwest,Texas,29
American Airlines,Texas,-34
Southwest,California,-6
Southwest,California,13
ExpressJet Airlines,Illinois,9
Delta Air Lines,California,-2
Delta Air Lines,Georgia,26
Southwest,California,-6
SkyWest Airlines,Illinois,-18
SkyWest Airlines,Illinois,0
American Airlines,California,-6
American Airlines,Texas,-8
SkyWest Airlines,California,2
ExpressJet Airlines,Illinois,18
American Airlines,Texas,69
Delta Air Lines,Georgia,-6
Southwest,Georgia,-10
United Air Lines,Texas,15
United Air Lines,Illinois,21
Southwest,Colorado,-9
American Airlines,Florida,89
United Air Lines,Illinois,-9
Delta Air Lines,Georgia,-18
Southwest,California,8
American Airlines,Texas,1
