Reporting_Airline,DelayType,DelayAmount
ExpressJet Airlines,CarrierDelay,32
United Air Lines,CarrierDelay,35
United Air Lines,CarrierDelay,14
United Air Lines,CarrierDelay,62
Southwest,CarrierDelay,23
Southwest,CarrierDelay,8
Southwest,CarrierDelay,10
United Air Lines,CarrierDelay,37
American Airlines,CarrierDelay,102
Southwest,CarrierDelay,1
United Air Lines,CarrierDelay,122
SkyWest Airlines,CarrierDelay,20
American Airlines,CarrierDelay,27
United Air Lines,CarrierDelay,15
Southwest,CarrierDelay,1
American Airlines,CarrierDelay,6
Delta Air Lines,CarrierDelay,7
SkyWest Airlines,CarrierDelay,16
Southwest,CarrierDelay,32
United Air Lines,CarrierDelay,47
Southwest,CarrierDelay,30
Southwest,CarrierDelay,63
ExpressJet Airlines,CarrierDelay,170
Southwest,CarrierDelay,96
Southwest,CarrierDelay,15
Southwest,CarrierDelay,16
Southwest,CarrierDelay,1
American Airlines,CarrierDelay,47
Delta Air Lines,CarrierDelay,4
American Airlines,CarrierDelay,25
American Airlines,CarrierDelay,96
Delta Air Lines,CarrierDelay,18
American Airlines,CarrierDelay,12
SkyWest Airlines,CarrierDelay,10
ExpressJet Airlines,CarrierDelay,63
American Airlines,CarrierDelay,1
Delta Air Lines,CarrierDelay,35
Southwest,CarrierDelay,8
Delta Air Lines,CarrierDelay,31
United Air Lines,CarrierDelay,7
Delta Air Lines,CarrierDelay,11
Southwest,CarrierDelay,2
Southwest,CarrierDelay,8
ExpressJet Airlines,CarrierDelay,72
ExpressJet Airlines,CarrierDelay,6
SkyWest Airlines,CarrierDelay,3
American Airlines,CarrierDelay,20
Southwest,CarrierDelay,41
United Air Lines,CarrierDelay,17
ExpressJet Airlines,CarrierDelay,11
United Air Lines,CarrierDelay,116
Southwest,CarrierDelay,3
Southwest,CarrierDelay,33
Delta Air Lines,CarrierDelay,11
Southwest,CarrierDelay,10
American Airlines,CarrierDelay,3
Southwest,CarrierDelay,25
Delta Air Lines,CarrierDelay,17
Delta Air Lines,CarrierDelay,8
Southwest,CarrierDelay,7
United Air Lines,CarrierDelay,4
Southwest,CarrierDelay,8
American Airlines,CarrierDelay,5
United Air Lines,CarrierDelay,49
Southwest,CarrierDelay,19
ExpressJet Airlines,CarrierDelay,5
Southwest,CarrierDelay,12
United Air Lines,CarrierDelay,38
United Air Lines,CarrierDelay,13
Southwest,CarrierDelay,21
Southwest,CarrierDelay,72
United Air Lines,CarrierDelay,40
United Air Lines,CarrierDelay,23
United Air Lines,CarrierDelay,22
Southwest,CarrierDelay,56
ExpressJet Airlines,CarrierDelay,590
American Airlines,CarrierDelay,18
Southwest,CarrierDelay,70
SkyWest Airlines,CarrierDelay,695
United Air Lines,CarrierDelay,4
Southwest,CarrierDelay,46
United Air Lines,CarrierDelay,7
American Airlines,CarrierDelay,9
Delta Air Lines,CarrierDelay,107
Southwest,CarrierDelay,29
Southwest,CarrierDelay,29
Delta Air Lines,CarrierDelay,108
Delta Air Lines,CarrierDelay,27
Southwest,CarrierDelay,6
Southwest,CarrierDelay,18
Delta Air Lines,CarrierDelay,4
